Career,Followers,Gender,Name,Group
7,335439,Boy,Ace,VAV
6,12342,Girl,Ahra,FAVORITE
12,10479,Girl,Ahyoung,DAL SHABET
11,11135,Girl,Alice,HELLO VENUS
13,5519743,Girl,Amber,F(X)
4,17749,Girl,Arang,PINK FANTASY
11,30965,Girl,Ari,TAHITI
8,1857972,Girl,Arin,OH MY GIRL
11,718784,Boy,Aron,NU'EST
10,541344,Girl,Ashley,LADIES' CODE
7,442087,Boy,Ayno,VAV
12,313078,Boy,B-Bomb,BLOCK B
8,71558,Girl,Babysoul,LOVELYZ
11,21803656,Boy,Baekhyun,EXO
9,17525604,Boy,BamBam,GOT7
9,10703,Boy,Benji,B.I.G
16,2703891,Boy,BM,KARD
7,3207006,Boy,Bobby,IKON
12,932196,Girl,Bomi,APINK
7,1984459,Girl,Bona,WJSN
4,53052,Girl,Bora,CHERRY BULLET
6,2016565,Boy,Byungchan,VICTON
4,7476,Girl,Chaebin,NATURE
6,20562,Girl,Chaejeong,ALICE
4,39052,Girl,Chaerin,CHERRY BULLET
1,6162880,Girl,Chaewon,LE SSERAFIM
4,2213645,Girl,Chaeyeon,IZ*ONE
5,522877,Girl,Chaeyoung,FROMIS_9
7,8858825,Girl,Chaeyoung,TWICE
6,38718,Boy,Chan,A.C.E
11,98726,Boy,Changsub,BTOB
10,78478,Boy,Changsun,24K
10,498678,Girl,Chanmi,AOA
15,316014,Boy,Chansung,2PM
11,24056706,Boy,Chanyeol,EXO
3,5591,Girl,Chiayi,FANATICS
11,57592,Girl,Choa,CRAYON POP
4,23906,Girl,Choerry,LOONA
12,1008659,Girl,Chorong,APINK
13,279558,Boy,CNU,B1A4
8,7657,Girl,D.ana,SONAMOO
11,741172,Boy,Daehyun,B.A.P
10,101954,Girl,Daeun,2EYES
7,8081245,Girl,Dahyun,TWICE
1,1129,Girl,Dakyung,HI-L
6,364197,Girl,Dami,DREAMCATCHER
6,571988,Boy,Dawon,SF9
7,3016,Girl,Dawon,WJSN
7,55874,Girl,Dayoung,WJSN
8,3642833,Boy,Dino,SEVENTEEN
8,4883637,Boy,DK,SEVENTEEN
6,66459,Girl,Do-A,ALICE
3,311691,Girl,Doah,FANATICS
17,7138398,Boy,Donghae,SUPER JUNIOR
6,69246,Boy,Donghun,A.C.E
12,210857,Boy,Donghyun,BOYFRIEND
13,62791,Boy,Dongwoo,INFINITE
13,1617496,Boy,Doojoon,HIGHLIGHT
7,1135625,Boy,Dowoon,DAY6
5,1420030,Girl,Doyeon,WEKI MEKI
7,11679382,Boy,Doyoung,NCT
14,69827,Girl,E-Young,AFTER SCHOOL
6,19092,Girl,EJ,ALICE
11,133912,Girl,Ellin,CRAYON POP
5,164017,Girl,Elly,WEKI MEKI
8,76353,Girl,Euijin,SONAMOO
4,2055521,Girl,Eunbi,IZ*ONE
8,888517,Girl,Eunbin,CLC
8,106509,Girl,Eunchae,DIA
1,3495608,Girl,Eunchae,LE SSERAFIM
1,1855917,Girl,Eunha,VIVIZ
8,53992,Girl,Eunice,DIA
12,2597797,Girl,Eunji,APINK
12,517344,Girl,Eunji,BRAVE GIRLS
13,913663,Girl,Eunjung,T-ARA
11,1053513,Boy,Eunkwang,BTOB
7,745723,Girl,Eunseo,WJSN
7,36175751,Boy,Eunwoo,ASTRO
3,90661,Girl,Eunwoo,HINAPIA
7,726651,Girl,Exy,WJSN
6,347262,Girl,Gahyeon,DREAMCATCHER
17,369552,Girl,Gain,BROWN EYED GIRLS
